StateName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
OK,80803.17,84872.25,88059.0,91164.5,94454.92,98492.67,102988.17,106443.33,107787.25,107518.08,108408.83,105681.92,105729.0,108125.0,111266.58,115295.75,118457.92,122532.08,126432.17,131038.58,138659.58,150685.11
CT,189554.75,205896.75,227392.58,254799.33,284599.0,319163.42,342127.33,339381.08,319548.5,295119.0,283480.25,267837.75,252485.83,257783.0,260605.58,258772.58,258840.75,265242.33,272275.58,275339.58,285425.58,329113.78
IA,94438.17,98896.0,103091.08,107430.83,111918.08,117310.58,121849.83,124538.0,124962.25,123457.75,122921.75,120032.58,120452.33,123880.58,127325.92,131137.25,136114.75,141948.67,147414.92,152852.42,157255.58,166243.22
MS,85074.58,89449.67,91996.83,94771.08,97937.42,103444.08,111899.17,117888.42,116467.0,112560.92,109598.67,107254.75,106076.67,105301.83,106327.0,110782.17,113564.58,117029.25,121236.33,126262.67,130856.25,140039.22
AR,80757.92,84463.5,86979.83,90699.92,95720.58,102784.92,109743.33,112570.08,112217.5,108552.58,106934.08,103916.67,104789.83,107183.58,108815.25,111409.92,115106.58,119776.5,125281.25,130506.0,136037.08,147986.33
KS,94429.75,100237.08,103994.25,106620.75,111704.0,118022.83,121535.75,125487.67,126713.33,126076.08,125507.92,121457.67,120505.17,122215.67,124521.17,128924.83,134031.5,140362.58,147658.42,154015.5,161355.08,176665.56
UT,186043.83,191713.25,193073.92,193214.33,196156.33,201311.75,223358.5,258201.42,261006.42,236082.92,221775.75,205467.5,207551.83,230739.92,245069.33,257836.83,278546.75,303486.42,332746.25,358723.92,385955.83,461136.33
NV,173560.67,183329.0,195225.17,212834.83,271922.08,347368.83,367091.83,346434.58,268188.17,191631.08,164983.42,148848.33,146242.75,180158.17,209299.92,224911.75,241772.83,260950.5,298319.42,315394.58,327345.75,375202.56
NM,,,137716.22,141312.17,148954.08,159969.58,181519.58,195532.17,193650.92,183848.42,177844.33,167894.08,164294.67,166543.0,171037.75,172557.5,176695.92,182637.25,189955.25,200671.0,214451.17,242692.67
WV,67371.08,71142.83,73506.67,76540.42,81318.58,87827.58,91821.33,93934.08,94600.08,92122.42,90209.67,88905.08,89069.67,90733.0,92945.33,95315.25,97667.92,99676.5,103267.92,106559.08,109305.67,115898.33
