StateName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CA,0.13983543699175516,0.12649690451260387,0.16709845259693124,0.2178732758214812,0.2195126106177807,0.09954982931462975,-0.039924039122309685,-0.18369689319685578,-0.18767274149362123,-0.0064907137581721175,-0.052867700460102585,-0.0054200855019671534,0.18893901378546785,0.13032152491665916,0.0546275831537939,0.06974788544486077,0.06650671123045471,0.07696246770187476,0.01972428833040385,0.05509328653200818,0.1483866964484204
TX,0.01293425756180322,0.023013002248509107,0.029709873475784576,0.05581012963974885,0.0474837777126671,0.034426776955596816,0.038314179560535955,-0.0026483108597761262,-0.02314390414806311,-0.005076393245978972,-0.03159803067022371,0.005070946793751974,0.05560667346330361,0.0770971177933939,0.07745812042217248,0.06949576764482779,0.06575660041674847,0.05907647238088387,0.047986659427349254,0.039379448188351374,0.11776314968738721
NY,0.07708548750551203,0.08826602111304882,0.10246583863810743,0.10323667284521254,0.10841289518098995,0.0811237252362389,0.017188695600039328,-0.012533566701831811,-0.04868247734322362,-0.013204654555973194,-0.026749381070986566,-0.018159907106317097,0.017112755020839865,0.027920768365891968,0.017991232075744268,0.026487353279250003,0.04302490508073564,0.05208317126832318,0.041809721133815536,0.03900163753964092,0.11375565097756302
FL,0.08148045069085708,0.09739559532649777,0.11070424396666079,0.14241849056783407,0.23546843165440556,0.20587135000185697,-0.030976309536507207,-0.16814949130778412,-0.2000871491943591,-0.08841976334618817,-0.09206307225480403,-0.005398000234058897,0.11452143333050513,0.1157280086165926,0.07001434018837793,0.08198616663493885,0.0783898206676199,0.07253748364445389,0.04893792745357328,0.050096278906875735,0.13393034177999463
IL,0.07767320620364448,0.07451421569307737,0.07336115591645287,0.07777573951606365,0.08387869172744566,0.06616452868375688,0.010270880098135926,-0.05985613730410522,-0.11595029588839867,-0.06533259373487021,-0.08480320483467974,-0.06006831640663313,0.03477349149936049,0.06035692618843691,0.02906409441347413,0.03623391056492853,0.050060308421855826,0.03927057954829172,0.020827582138854384,0.021889404250180267,0.09177720817729162
PA,0.05267313098858217,0.06108817553131174,0.08008626663791207,0.09435266754645277,0.11183461041037979,0.0895680180770917,0.0339467163865903,-0.006356673277330027,-0.0341726446880628,-0.004754839437401848,-0.042152806232908735,-0.022002716958637536,0.010635403583775682,0.017901160292221885,0.01537942674181969,0.0249263583959507,0.038619626430043574,0.055227054364968,0.043403256619078956,0.05142480760389301,0.11955236949962678
OH,0.04453923952303618,0.03255574014001761,0.035222718384951834,0.036180897202586326,0.031157282158987165,0.01817729436058202,-0.010030958643844956,-0.033035750449675105,-0.049667454950879875,-0.024942070481427603,-0.04867576266696483,-0.02581380407645839,0.015811599274360377,0.02258222192283088,0.03713193163237216,0.04406949459173437,0.06022339455331949,0.0656675469184076,0.059342650444230705,0.06426397774869952,0.11888060084645269
MI,0.06668225784206139,0.04413497413064538,0.03357293094277969,0.037821851634479486,0.028437517316852068,0.004429424387623282,-0.047213376028299225,-0.10294653330643322,-0.15252380410581368,-0.07312917092754101,-0.062312155317522544,0.008660169395589223,0.10814994311833948,0.11457556569434968,0.05753197611454408,0.06390196074142773,0.08191229370898223,0.0839774423844295,0.06369844772366084,0.05952585197966598,0.12474783206120788
GA,0.07203526170179586,0.047130260527954215,0.030148190846357892,0.03007905666111066,0.037728733063276954,0.0412616452718213,0.023092259357456957,-0.03862407079240482,-0.10314559715409333,-0.0695138620130783,-0.09443340586457272,-0.03021722390651793,0.0775365801033665,0.0963050219967787,0.05905144567074694,0.05862574799274345,0.06270922508669918,0.08588321405565336,0.06647960647372275,0.05574132596239312,0.12869845884357
NC,0.03937841124542141,0.021414503946052266,0.019052009856741492,0.026195221595730622,0.04096466965411105,0.06036677860620365,0.04965981132886732,0.007084754465104481,-0.04053937233981941,-0.033986812083133255,-0.045800512503926805,-0.0261126103152437,0.016249180818384668,0.03158515668469497,0.030595308636613305,0.0425949506169494,0.060104576597593606,0.06596424899288111,0.059314845191192234,0.05961915190749645,0.13012243763736597
